symbol,high52,low52,dividendAmount,dividendYield,dividendDate,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,quickRatio,currentRatio,interestCoverage,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,epsTTM,epsChangePercentTTM,epsChangeYear,epsChange,revChangeYear,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare,shortIntToFloat,shortIntDayToCover,divGrowthRate3Year,dividendPayAmount,dividendPayDate,beta,vol1DayAvg,vol10DayAvg,vol3MonthAvg,avg10DaysVolume,avg1DayVolume,avg3MonthVolume,declarationDate,dividendFreq,eps,dtnVolume,nextDividendPayDate,nextDividendDate,fundLeverageFactor
APD,307.71,212.24,7.08,2.54759,2024-10-01 00:00:00.0,24.04797,12.40049,3.7989,4.74234,17.35006,31.6653,32.8219,21.2393,23.3327,21.4665,23.7447,16.2107,5.1039,7.70623,1.02758,1.26883,0.0,43.2331,88.2992,81.4076,11.50991,17.6894,0.0,0.0,-0.7765,-6.7365,0.0,222314502.0,0.0,61783423250.0,67.92764,0.0,0.0,0.0,1.77,2024-11-12 00:00:00.0,0.82223,0.0,0.0,0.0,774280,1456864,1612493,2024-07-18 00:00:00.0,4,10.3,1595321,2025-02-12 00:00:00.0,2025-01-01 00:00:00.0,0.0
ABNB,170.1,110.38,0.0,0.0,,15.8582,0.10007,12.01367,9.20894,27.40872,82.5892,81.5866,46.1113,20.1965,46.1113,20.1965,74.175,4.2045,64.93298,0.72189,1.40586,0.0,21.555,28.4178,27.6805,7.41131,116.0025,0.0,0.0,18.0735,15.5919,0.0,440002134.0,0.0,73829115304.0,12.62145,0.0,0.0,0.0,0.0,,1.18914,0.0,0.0,0.0,4479592,5242305,4600096,,0,7.2432,3457429,,,0.0
AKAM,129.17,87.59,0.0,0.0,,24.84719,3.59735,2.87808,3.47649,12.20277,59.9458,58.8713,16.0123,13.4433,16.0123,13.4433,13.9058,4.6566,8.62513,1.20076,1.32098,0.0,34.4225,97.0728,67.8374,4.02782,32.0461,0.0,0.0,5.399,7.2644,0.0,151525770.0,0.0,15351075758.0,31.29863,0.0,0.0,0.0,0.0,,0.67028,0.0,0.0,0.0,1199773,1633576,1582364,,0,3.52,843558,,,0.0
ALB,203.62,71.97,1.62,1.82063,2024-09-13 00:00:00.0,-18.64592,-0.16039,1.24911,1.50391,5.9669,-8.176,-0.7395,-6.7163,-13.1571,-5.9339,-12.3459,-4.1031,-4.5088,-3.01952,1.54609,2.66828,0.0,23.9582,31.8683,31.5933,-4.71953,-114.1939,0.0,0.0,31.3806,-22.8221,0.0,117533235.0,0.0,10458107250.0,76.47063,0.0,0.0,0.0,0.405,2024-10-01 00:00:00.0,1.57448,0.0,0.0,0.0,3122496,2996590,3171365,2024-07-16 00:00:00.0,4,13.36,1165672,2025-01-01 00:00:00.0,2024-12-13 00:00:00.0,0.0
ARE,135.445,90.73,5.2,4.31321,2024-06-28 00:00:00.0,146.17952,-2.71445,1.10199,6.6691,13.30418,70.8757,71.6698,5.0897,6.0899,11.2649,12.2641,1.4914,1.3453,0.37144,2.67286,2.77848,0.0,36.0653,56.4845,56.4366,0.81482,-75.4713,0.0,0.0,11.4717,9.5548,0.0,174926073.0,0.0,21089087360.0,106.14387,0.0,0.0,0.0,1.3,2024-07-15 00:00:00.0,1.16205,0.0,0.0,0.0,783570,1037031,902516,2024-06-03 00:00:00.0,4,0.54,536636,2024-10-15 00:00:00.0,2024-09-30 00:00:00.0,0.0
ALGN,375.68,176.34,0.0,0.0,,39.16803,1.53171,4.79891,4.63252,26.38474,70.1608,70.261,11.3377,9.3889,11.3377,9.3889,12.0881,6.9445,11.04478,0.97597,1.18247,0.0,2.5289,3.4351,2.6158,5.89588,45.1087,0.0,0.0,3.4173,5.5035,0.0,74697065.0,0.0,17649422518.0,50.30936,0.0,0.0,0.0,0.0,,1.65868,0.0,0.0,0.0,740380,886179,873647,,0,5.81,602731,,,0.0
ALLE,141.9915,95.94,1.92,1.39931,2024-06-14 00:00:00.0,21.72233,1.25574,7.22244,2.81807,18.00785,43.7656,44.3558,15.0783,16.0936,15.081,16.0936,43.199,10.6453,15.56592,1.1812,1.65906,0.0,52.8789,179.4008,147.7443,6.28984,7.5066,0.0,0.0,11.5804,1.7752,0.0,87128089.0,0.0,11954845091.0,16.35874,0.0,0.0,0.0,0.48,2024-06-28 00:00:00.0,1.13361,0.0,0.0,0.0,452152,723185,714198,2024-04-11 00:00:00.0,4,6.12,479532,2024-09-30 00:00:00.0,2024-09-16 00:00:00.0,0.0
LNT,58.69,45.1536,1.92,3.33391,2024-07-31 00:00:00.0,23.62404,11.75658,1.92252,3.28178,9.02566,44.22,45.5257,15.7748,9.7315,15.7748,9.7315,9.4389,2.635,3.11023,0.27023,0.6548,0.0,53.7861,143.6607,131.0558,2.44666,-6.2595,0.0,0.0,-4.2331,-5.2833,0.0,256499575.0,0.0,14771810524.0,26.47568,0.0,0.0,0.0,0.48,2024-08-15 00:00:00.0,0.55501,0.0,0.0,0.0,989118,1701739,1424644,2024-07-12 00:00:00.0,4,2.77866,663993,2024-11-15 00:00:00.0,2024-10-31 00:00:00.0,0.0
ALL,187.595,105.01,3.68,1.98768,2024-08-30 00:00:00.0,17.00708,1.98605,2.5404,0.69594,45.93094,20.1701,16.6793,5.0296,2.1064,5.0213,2.2082,17.8406,2.5301,7.72031,0.24109,0.37808,0.0,30.3184,43.5255,43.5147,10.99895,-206.96,0.0,0.0,11.054,10.4007,0.0,263911621.0,0.0,48860597511.0,62.84848,0.0,0.0,0.0,0.92,2024-10-01 00:00:00.0,0.48054,0.0,0.0,0.0,1704662,1588282,1492331,2024-07-17 00:00:00.0,4,-1.20381,1204379,2025-01-01 00:00:00.0,2024-12-02 00:00:00.0,0.0
GOOGL,191.75,120.2057,0.8,0.48579,2024-09-09 00:00:00.0,23.37216,1.1229,7.46278,6.91183,16.70867,57.6394,58.0998,26.7015,27.8716,26.7015,27.8716,30.8709,15.9608,27.60372,1.89714,2.07918,0.0,7.5715,9.549,8.2945,6.96769,47.5602,0.0,0.0,13.3847,13.3847,0.0,5859000000.0,0.0,2036705300000.0,24.40781,0.0,0.0,0.0,0.2,2024-09-16 00:00:00.0,1.04641,0.0,0.0,0.0,22244511,27839900,24688839,2024-07-17 00:00:00.0,4,5.80058,11821941,2024-12-16 00:00:00.0,2024-12-09 00:00:00.0,0.0
